"DateTime";"SAO JOAQUIM"
"1999-01-01 12:00:00";0
"1999-01-02 12:00:00";0
"1999-01-03 12:00:00";0
"1999-01-04 12:00:00";0
"1999-01-05 12:00:00";4
"1999-01-06 12:00:00";0
"1999-01-07 12:00:00";0
"1999-01-08 12:00:00";0
"1999-01-09 12:00:00";0
"1999-01-10 12:00:00";0
"1999-01-11 12:00:00";0
"1999-01-12 12:00:00";6
"1999-01-13 12:00:00";12
"1999-01-14 12:00:00";0
"1999-01-15 12:00:00";20
"1999-01-16 12:00:00";0
"1999-01-17 12:00:00";0
"1999-01-18 12:00:00";0
"1999-01-19 12:00:00";22
"1999-01-20 12:00:00";6
"1999-01-21 12:00:00";
"1999-01-22 12:00:00";29
"1999-01-23 12:00:00";9
"1999-01-24 12:00:00";6
"1999-01-25 12:00:00";0
"1999-01-26 12:00:00";30
"1999-01-27 12:00:00";0
"1999-01-28 12:00:00";0
"1999-01-29 12:00:00";7
"1999-01-30 12:00:00";
"1999-01-31 12:00:00";0
"1999-02-01 12:00:00";0
"1999-02-02 12:00:00";4
"1999-02-03 12:00:00";0
"1999-02-04 12:00:00";0
"1999-02-05 12:00:00";0
"1999-02-06 12:00:00";0
"1999-02-07 12:00:00";0
"1999-02-08 12:00:00";1
"1999-02-09 12:00:00";53
"1999-02-10 12:00:00";3
"1999-02-11 12:00:00";0
"1999-02-12 12:00:00";0
"1999-02-13 12:00:00";0
"1999-02-14 12:00:00";
"1999-02-15 12:00:00";
"1999-02-16 12:00:00";0
"1999-02-17 12:00:00";16
"1999-02-18 12:00:00";
"1999-02-19 12:00:00";
"1999-02-20 12:00:00";0
"1999-02-21 12:00:00";2
"1999-02-22 12:00:00";2
"1999-02-23 12:00:00";
"1999-02-24 12:00:00";0
"1999-02-25 12:00:00";4
"1999-02-26 12:00:00";5
"1999-02-27 12:00:00";20
"1999-02-28 12:00:00";12
"1999-03-01 12:00:00";0
"1999-03-02 12:00:00";
"1999-03-03 12:00:00";3
"1999-03-04 12:00:00";2
"1999-03-05 12:00:00";
"1999-03-06 12:00:00";0
"1999-03-07 12:00:00";4
"1999-03-08 12:00:00";1
"1999-03-09 12:00:00";0
"1999-03-10 12:00:00";
"1999-03-11 12:00:00";0
"1999-03-12 12:00:00";1
"1999-03-13 12:00:00";0
